id;uri;artist;song;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;this_timesignature
4ZOv9mx6Lz7RRaBFi5UNaE;spotify:track:4ZOv9mx6Lz7RRaBFi5UNaE;Nosaj Thing;Aquarium;0.635;0.655;0;-9.521;1;0.0484;0.15;0.553;0.129;0.271;91.026;184000;4
6Oe5tmI1bfguCp6dKHbSj6;spotify:track:6Oe5tmI1bfguCp6dKHbSj6;Nosaj Thing;Paranoia;0.472;0.282;1;-12.309;1;0.306;0.317;0.000158;0.107;0.123;69.985;275281;4
6D3YkHy51Mn7Ijdiz9WaIP;spotify:track:6D3YkHy51Mn7Ijdiz9WaIP;Nosaj Thing;Nightcrawler;0.683;0.329;4;-14.013;0;0.0333;0.136;0.88;0.107;0.238;108.022;225998;4
1paOXtSfaeFcZfzt9msquZ;spotify:track:1paOXtSfaeFcZfzt9msquZ;Nosaj Thing;CLOUDS;0.81;0.425;6;-14.68;0;0.0686;0.638;0.802;0.104;0.542;104.953;196008;4
1JA1CkP5hFEarsErazLeIe;spotify:track:1JA1CkP5hFEarsErazLeIe;Nosaj Thing;In Your Eyes (feat. Charlotte Day Wilson) [Nosaj Thing Remix];0.349;0.353;5;-9.386;1;0.0593;0.114;4.11e-06;0.0676;0.181;79.54;200504;4
11dTnaie5BRo7EFXuVARSy;spotify:track:11dTnaie5BRo7EFXuVARSy;Nosaj Thing;CLOUDS;0.811;0.42;6;-14.69;0;0.0745;0.638;0.802;0.105;0.535;104.951;196008;4
1c3llq4m0FYzMch1ZqQmiN;spotify:track:1c3llq4m0FYzMch1ZqQmiN;Nosaj Thing;Made;0.861;0.369;7;-10.811;1;0.0873;0.757;0.674;0.107;0.667;142.006;234357;4
0WAOLXpWWl3oescKBLC37q;spotify:track:0WAOLXpWWl3oescKBLC37q;Nosaj Thing;Gemini;0.297;0.246;5;-12.82;1;0.0469;0.797;0.161;0.0999;0.0621;86.147;211139;1
4PJhsp3DADV5peo5QlU1oV;spotify:track:4PJhsp3DADV5peo5QlU1oV;Nosaj Thing;Naked - Nosaj Thing Remix;0.8;0.784;1;-8.821;1;0.0591;0.0333;0.606;0.0418;0.284;124.991;200973;4
3yrhTQ3lv4axr8VIjQkFX8;spotify:track:3yrhTQ3lv4axr8VIjQkFX8;Nosaj Thing;Nod;0.0925;0.278;1;-12.26;0;0.0303;0.752;0.728;0.196;0.0528;172.855;237071;3
7x2vaFP5Lu9D0XAZBhJVfp;spotify:track:7x2vaFP5Lu9D0XAZBhJVfp;Nosaj Thing;Cold Stares;0.499;0.305;9;-12.496;0;0.115;0.474;0.0356;0.16;0.192;98.18;172987;4
4D9jd1p839yUN9Vb6s6stj;spotify:track:4D9jd1p839yUN9Vb6s6stj;Nosaj Thing;Mountain;0.352;0.498;2;-11.217;1;0.048;0.856;0.955;0.145;0.0425;155.181;135270;4
3mfyyduCDiJg0jkOth5Bbv;spotify:track:3mfyyduCDiJg0jkOth5Bbv;Nosaj Thing;World of the Forgotten (Nosaj Thing Remix);0.353;0.358;11;-16.701;0;0.0618;0.92;0.939;0.0878;0.17;154.697;175328;4
1q1wxTHRtt7TR9GJhhZA8b;spotify:track:1q1wxTHRtt7TR9GJhhZA8b;Nosaj Thing;Next to Me;0.828;0.635;11;-10.848;0;0.207;0.742;0.236;0.0909;0.164;122.006;258251;4
72Zjy98juHFWSq8CXtXfAB;spotify:track:72Zjy98juHFWSq8CXtXfAB;Nosaj Thing;Fog;0.835;0.274;5;-12.462;0;0.0609;0.0926;0.736;0.135;0.229;96.994;222173;4
4JYYSprxbzky7j1Tg847jH;spotify:track:4JYYSprxbzky7j1Tg847jH;Nosaj Thing;Eclipse/Blue;0.324;0.446;7;-11.889;0;0.0408;0.72;0.959;0.139;0.0809;157.961;269093;4
4ppZs1RCLHRBcwnwNQfjWa;spotify:track:4ppZs1RCLHRBcwnwNQfjWa;Nosaj Thing;Try;0.453;0.311;8;-12.456;1;0.0379;0.6;0.884;0.0739;0.343;67.433;242560;3
6Q9CG7gjL0DyNRYF5j6nIm;spotify:track:6Q9CG7gjL0DyNRYF5j6nIm;Nosaj Thing;Mountain <expanded>;0.128;0.0922;7;-24.429;1;0.0395;0.95;0.924;0.176;0.0301;98.339;604444;4
3joGqdbtiWS0wZ9u8H34YM;spotify:track:3joGqdbtiWS0wZ9u8H34YM;Nosaj Thing;All Points Back to U;0.526;0.501;7;-11.754;1;0.0394;0.172;0.365;0.117;0.124;130.095;254771;4
0GPZVVuQ291PJKvKWpp9cF;spotify:track:0GPZVVuQ291PJKvKWpp9cF;Nosaj Thing;Gemini;0.297;0.246;5;-12.82;1;0.0469;0.797;0.161;0.0999;0.0621;86.147;211139;1
03X5X8RVcRbxofZI7ol71f;spotify:track:03X5X8RVcRbxofZI7ol71f;Nosaj Thing;Get Like;0.758;0.334;1;-14.084;0;0.0728;0.569;0.904;0.111;0.0635;130.04;184976;4
3wzQtR6VrMSR05bIsNV8WH;spotify:track:3wzQtR6VrMSR05bIsNV8WH;Nosaj Thing;For The Light;0.793;0.435;9;-13.134;1;0.0465;0.407;0.912;0.111;0.621;120.015;162153;4
0Mlj1ytVDDChtHAfHH60t2;spotify:track:0Mlj1ytVDDChtHAfHH60t2;Nosaj Thing;Salty - Nosaj Thing Remix;0.818;0.635;8;-11.323;1;0.163;0.567;0.877;0.0956;0.499;131.976;233371;4
4lhpy32iUw8XE6o7YLa34l;spotify:track:4lhpy32iUw8XE6o7YLa34l;Nosaj Thing;Don't Mind Me;0.681;0.398;6;-9.623;1;0.0619;0.669;0.629;0.0998;0.191;80.006;202720;4
1ilsJPmqtfB2Fd7ueWxbW4;spotify:track:1ilsJPmqtfB2Fd7ueWxbW4;Nosaj Thing;Pharmacy Heist;0.489;0.417;6;-10.869;0;0.0472;0.21;0.784;0.264;0.181;178.026;198761;4
3Oxi3Mz2TshOZIxFt30C7a;spotify:track:3Oxi3Mz2TshOZIxFt30C7a;Nosaj Thing;Open Eye Signal - Nosaj Thing remix;0.684;0.792;5;-8.735;0;0.0411;0.698;0.797;0.114;0.178;122.008;208665;4
0OdBuALOdX77KWTaZnyqYI;spotify:track:0OdBuALOdX77KWTaZnyqYI;Nosaj Thing;Quest;0.629;0.45;1;-14.27;1;0.0462;0.107;0.784;0.0933;0.193;91.993;96453;4
63a2cvHYkuBjducsObp1Ir;spotify:track:63a2cvHYkuBjducsObp1Ir;Nosaj Thing;Opal;0.403;0.408;4;-11.856;0;0.0505;0.824;0.545;0.132;0.346;134.897;120267;4
3lDgnFLXGM9L9KTGbqd2xd;spotify:track:3lDgnFLXGM9L9KTGbqd2xd;Nosaj Thing;1685/Bach;0.805;0.592;10;-12.893;0;0.339;0.284;0.595;0.114;0.801;95.041;168333;4
6IFxu0KyXQGvjvJ2bmaCZm;spotify:track:6IFxu0KyXQGvjvJ2bmaCZm;Nosaj Thing;Nowhere;0.303;0.124;4;-23.045;1;0.0383;0.959;0.943;0.0951;0.187;119.045;148538;4
4MqalvDBsY4wfSokuOwUvU;spotify:track:4MqalvDBsY4wfSokuOwUvU;Nosaj Thing;Islands - Nosaj Thing Remix;0.68;0.668;1;-10.142;1;0.0441;0.343;0.0777;0.395;0.596;139.993;155013;4
5F6WDQVqphH1gAp2SGDaAC;spotify:track:5F6WDQVqphH1gAp2SGDaAC;Nosaj Thing;U G (Les Sins Remix);0.701;0.707;9;-7.913;0;0.177;0.000733;0.293;0.126;0.393;119.985;276000;4
5BbNtqKsd4qFSFgJ1tCNqr;spotify:track:5BbNtqKsd4qFSFgJ1tCNqr;Nosaj Thing;How We Do;0.719;0.446;0;-11.981;0;0.0575;0.43;0.485;0.083;0.0708;124.994;256080;4
5q7KCCJoCfqQ1nX4kgXhWk;spotify:track:5q7KCCJoCfqQ1nX4kgXhWk;Nosaj Thing;Fog - Jamie XX Remix;0.509;0.424;10;-10.6;0;0.0924;0.282;0.493;0.119;0.224;138.076;280998;4
1WNxHeunuTPZzXuGeCgRyV;spotify:track:1WNxHeunuTPZzXuGeCgRyV;Nosaj Thing;N R 5;0.618;0.455;3;-15.468;0;0.092;0.859;0.742;0.087;0.317;130.032;247286;4
3jMNxudAiKkd8qeh1PVo4n;spotify:track:3jMNxudAiKkd8qeh1PVo4n;Nosaj Thing;No Mind <expanded>;0.158;0.115;2;-29.282;1;0.0423;0.836;0.878;0.12;0.0292;95.87;619506;5
3LUDRlfXwW0UXRUvZqeAz3;spotify:track:3LUDRlfXwW0UXRUvZqeAz3;Nosaj Thing;Heart Entire;0.598;0.525;0;-9.961;0;0.0471;0.00202;0.0164;0.104;0.462;95.24;193955;4
5iGFm02AAhThNe7PrWs2LX;spotify:track:5iGFm02AAhThNe7PrWs2LX;Nosaj Thing;All Points Back to U (feat. Steve Spacek);0.526;0.501;7;-11.754;1;0.0394;0.172;0.365;0.117;0.124;130.095;254771;4
4M0Ny1FB6citDkYPV9lVAr;spotify:track:4M0Ny1FB6citDkYPV9lVAr;Nosaj Thing;Way We Were;0.551;0.239;7;-16.784;0;0.0386;0.444;0.823;0.129;0.0796;79.982;210596;4
1E96s9S9ZJRe8hPDDZ25on;spotify:track:1E96s9S9ZJRe8hPDDZ25on;Nosaj Thing;Coat of Arms;0.694;0.554;4;-11.257;0;0.66;0.0917;0;0.33;0.464;94.108;208467;4
1YAB4zamvLdvmtz7E2rRKJ;spotify:track:1YAB4zamvLdvmtz7E2rRKJ;Nosaj Thing;Sci;0.443;0.29;9;-15.257;0;0.0411;0.84;0.922;0.128;0.176;80.999;142200;4
3Sh0Sbakas6fcoNAPfTFQO;spotify:track:3Sh0Sbakas6fcoNAPfTFQO;Nosaj Thing;IOIO;0.498;0.673;0;-11.52;0;0.0531;0.0113;0.795;0.0861;0.297;195.998;204520;4
14eZDgwCFqqD0qXcxtNSwY;spotify:track:14eZDgwCFqqD0qXcxtNSwY;Nosaj Thing;Naked;0.868;0.811;1;-5.037;1;0.0358;0.0028;0.000232;0.114;0.791;120.05;218973;4
7EuX1MPEvBelbYjRjvkNJ4;spotify:track:7EuX1MPEvBelbYjRjvkNJ4;Nosaj Thing;U G;0.723;0.661;2;-9.972;1;0.0656;0.476;0.929;0.108;0.0388;119.99;261453;4
7KdqALrr2jXUpclMVTwjG4;spotify:track:7KdqALrr2jXUpclMVTwjG4;Nosaj Thing;The Ferry;0.463;0.191;6;-11.279;0;0.0406;0.916;0.883;0.0884;0.0385;142.517;70921;4
1VyPw4andU1tkEKsNot6xM;spotify:track:1VyPw4andU1tkEKsNot6xM;Nosaj Thing;Opal <expanded>;0.103;0.207;5;-18.819;1;0.0494;0.804;0.892;0.166;0.0294;63.714;600803;4
1LBkdwYnG61BEDvoe9wNa2;spotify:track:1LBkdwYnG61BEDvoe9wNa2;Nosaj Thing;Next to Me;0.828;0.635;11;-10.848;0;0.207;0.742;0.236;0.0909;0.164;122.006;258251;4
1JuRd1e9MICfEqvKZ5o81T;spotify:track:1JuRd1e9MICfEqvKZ5o81T;Nosaj Thing;Realize;0.813;0.446;7;-9.118;0;0.0573;0.223;0.895;0.113;0.709;145.033;94373;4
3jKzbjkjkAzzIVPiAS4QqI;spotify:track:3jKzbjkjkAzzIVPiAS4QqI;Nosaj Thing;I Know;0.596;0.506;0;-10.975;1;0.124;0.677;0.524;0.111;0.562;180.029;143846;4
04JhQ6pBE1uBc2DddpSybd;spotify:track:04JhQ6pBE1uBc2DddpSybd;Nosaj Thing;Safe;0.724;0.333;3;-14.674;0;0.0414;0.344;0.859;0.0919;0.0895;135.003;228333;4
14XWXWv5FoCbFzLksawpEe;spotify:track:14XWXWv5FoCbFzLksawpEe;The Doors;Riders on the Storm;0.55;0.722;11;-11.729;0;0.0283;0.25;0.0129;0.11;0.716;103.886;434720;4
