state,customer_lifetime_value,response,coverage,education,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,month
arizona,4809,no,basic,college,employed,m,48029,suburban,married,61,7,52,0.0,9,corporate auto,corporate l3,offer3,agent,292,four-door car,medsize,2
california,2228,no,basic,college,unemployed,f,0,suburban,single,64,3,26,0.0,1,personal auto,personal l3,offer4,call center,744,four-door car,medsize,1
washington,14947,no,basic,bachelor,employed,m,22139,suburban,single,100,34,31,0.0,2,personal auto,personal l3,offer3,call center,480,suv,medsize,2
oregon,22332,yes,extended,college,employed,m,49078,suburban,single,97,10,3,0.0,2,corporate auto,corporate l3,offer2,branch,484,four-door car,medsize,1
oregon,9025,no,premium,bachelor,medical leave,f,23675,suburban,married,117,15,31,0.0,7,personal auto,personal l2,offer1,branch,707,four-door car,medsize,1
,4745,no,basic,high school or below,employed,m,50549,suburban,divorced,61,2,73,0.0,7,personal auto,personal l3,offer1,agent,292,four-door car,medsize,2
california,5035,no,basic,doctor,employed,f,37405,urban,married,63,8,99,3.0,4,corporate auto,corporate l2,offer2,branch,287,four-door car,medsize,2
california,4956,no,basic,high school or below,employed,m,87197,urban,single,63,35,45,0.0,3,personal auto,personal l2,offer2,branch,247,two-door car,medsize,2
california,5989,yes,premium,college,employed,m,66839,suburban,single,154,33,24,0.0,1,personal auto,personal l1,offer2,branch,739,sports car,medsize,1
oregon,17114,no,extended,master,employed,f,70961,suburban,married,85,19,8,0.0,2,corporate auto,corporate l3,offer2,agent,408,four-door car,small,1
arizona,5154,no,extended,high school or below,employed,m,82730,urban,married,127,13,31,0.0,1,corporate auto,corporate l3,offer2,branch,442,suv,large,1
,2420,no,basic,bachelor,employed,m,31710,urban,divorced,62,5,29,0.0,1,corporate auto,corporate l3,offer1,call center,199,two-door car,medsize,2
oregon,19955,no,extended,high school or below,employed,f,69096,rural,married,99,24,32,0.0,2,corporate auto,corporate l3,offer1,agent,64,four-door car,medsize,1
california,5454,no,basic,master,employed,m,66334,suburban,single,69,25,25,0.0,4,personal auto,personal l3,offer4,call center,331,two-door car,medsize,1
arizona,12836,no,premium,high school or below,unemployed,m,0,suburban,married,116,6,28,0.0,2,personal auto,personal l2,offer3,agent,835,two-door car,medsize,2
california,4626,yes,basic,master,employed,f,79487,suburban,divorced,114,20,87,0.0,1,special auto,special l1,offer2,branch,547,suv,medsize,1
california,5326,no,basic,high school or below,employed,f,76717,urban,married,66,26,10,0.0,6,personal auto,personal l3,offer4,call center,300,two-door car,large,2
oregon,2497,no,basic,high school or below,unemployed,m,0,urban,married,69,5,74,0.0,1,corporate auto,corporate l2,offer2,branch,272,two-door car,medsize,1
california,2736,no,basic,college,disabled,m,17533,suburban,married,73,10,1,0.0,1,personal auto,personal l3,offer1,agent,350,two-door car,medsize,2
california,3746,yes,extended,college,employed,f,41479,rural,married,94,14,38,1.0,1,personal auto,personal l2,offer2,call center,19,two-door car,large,2
california,7247,no,basic,bachelor,unemployed,f,0,suburban,single,104,9,58,0.0,7,personal auto,personal l3,offer1,call center,499,suv,medsize,2
oregon,6274,no,extended,high school or below,medical leave,f,13662,suburban,single,85,29,37,0.0,3,personal auto,personal l1,offer1,agent,408,four-door car,small,2
oregon,15031,no,basic,college,employed,f,59456,suburban,married,189,11,7,0.0,8,personal auto,personal l3,offer2,call center,907,luxury car,large,1
california,5107,no,basic,bachelor,employed,m,70174,rural,married,64,15,80,0.0,7,personal auto,personal l2,offer1,agent,128,four-door car,medsize,2
oregon,2502,no,basic,high school or below,unemployed,m,0,suburban,divorced,74,26,95,1.0,1,corporate auto,corporate l1,offer1,agent,355,four-door car,medsize,2
nevada,9521,no,extended,college,employed,m,27769,rural,married,121,24,78,0.0,6,special auto,special l3,offer4,agent,123,suv,small,1
arizona,8869,no,basic,college,employed,f,81350,rural,married,110,1,28,0.0,9,personal auto,personal l3,offer3,branch,228,suv,large,2
oregon,4376,yes,premium,bachelor,employed,f,63774,rural,divorced,111,18,63,0.0,1,personal auto,personal l3,offer2,agent,60,four-door car,medsize,2
nevada,2926,no,basic,college,employed,f,92381,urban,married,72,24,27,0.0,1,special auto,special l2,offer2,call center,234,four-door car,medsize,2
california,24706,no,basic,high school or below,medical leave,m,26307,urban,married,73,26,1,0.0,2,personal auto,personal l2,offer4,call center,313,four-door car,medsize,1
california,8491,no,premium,high school or below,unemployed,f,0,suburban,single,116,3,97,0.0,3,personal auto,personal l3,offer1,branch,1193,four-door car,large,1
california,9191,no,basic,master,employed,f,23823,suburban,married,115,5,39,0.0,6,corporate auto,corporate l2,offer2,branch,567,sports car,medsize,2
arizona,5776,no,premium,high school or below,medical leave,f,27510,suburban,married,159,5,28,3.0,1,corporate auto,corporate l3,offer1,call center,871,suv,small,1
california,9115,no,basic,bachelor,employed,f,69588,rural,married,114,19,45,0.0,6,personal auto,personal l1,offer1,branch,173,suv,medsize,2
california,4163,no,basic,college,employed,f,43276,suburban,married,104,16,11,0.0,1,personal auto,personal l3,offer2,call center,499,suv,large,2
california,5264,no,basic,college,unemployed,f,0,rural,divorced,72,30,26,0.0,8,special auto,special l3,offer1,branch,135,four-door car,medsize,2
california,3945,no,basic,college,medical leave,m,28855,suburban,married,101,12,59,0.0,1,personal auto,personal l2,offer3,call center,647,suv,medsize,1
oregon,5176,no,basic,high school or below,employed,m,41533,urban,married,65,2,46,0.0,9,corporate auto,corporate l2,offer3,agent,232,four-door car,medsize,2
arizona,4492,no,basic,bachelor,medical leave,f,21137,suburban,single,61,29,62,1.0,6,personal auto,personal l1,offer2,web,292,four-door car,medsize,1
oregon,8470,no,extended,bachelor,unemployed,f,0,suburban,single,82,1,13,0.0,2,personal auto,personal l2,offer2,web,479,four-door car,large,2
